AppDynamics PHP Agent 4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe PHP-5.6.37-1+ubuntu14.04.1+deb.sury.org+1 681
2019-12-24 12:02:59.065 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 3103051009734419701
2019-12-24 12:02:59.252 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 0, error: 0, snapshot: 0, requestID: -3999861523261790343
2019-12-24 12:02:59.450 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 0, error: 0, snapshot: 0, requestID: 3616725465071571778
2019-12-24 12:02:59.649 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: -7954826569140136633
2019-12-24 12:04:12.124 UTC INFO   983 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:04:12.125 UTC INFO  proc1 983 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:04:12.132 UTC INFO  proc1 983 [agent.ZMQControlTransport] received start node response, size: 1987 bytes
2019-12-24 12:04:12.135 UTC INFO  proc1 983 [config.ZMQConfigTransport] received config response for request ID -2271240043932712149
2019-12-24 12:04:12.136 UTC INFO  proc1 983 [config.ConfigChannel] going into INITIALIZED state
2019-12-24 12:04:12.147 UTC WARN  proc1 983 [agent.ZMQBTInfoTransport] timed out (10000us) waiting for response to -8273227986681094898.  Actual wait time: 12578us
2019-12-24 12:04:12.147 UTC WARN  proc1 983 [report.TransactionReporter] did not receive BTInfoResponse, not attaching snapshot
2019-12-24 12:04:12.150 UTC INFO  proc1 983 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 0, error: 0, snapshot: 0, requestID: -8273227986681094898
2019-12-24 12:04:12.299 UTC INFO  proc1 983 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -3464965575978942049
2019-12-24 12:04:12.470 UTC INFO  proc1 983 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -6978296097734213199
2019-12-24 12:04:12.638 UTC INFO  proc1 983 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: -7209007423909222867
2019-12-24 12:04:12.818 UTC INFO  proc1 983 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: 4054231615933524173
2019-12-24 12:04:13.095 UTC INFO  proc1 983 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: -1016838026230188141
2019-12-24 12:04:52.058 UTC INFO   685 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:04:52.059 UTC INFO  proc1 685 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:04:52.063 UTC INFO  proc1 685 [agent.ZMQControlTransport] received start node response, size: 1987 bytes
2019-12-24 12:04:52.254 UTC INFO  proc1 685 [config.ZMQConfigTransport] received config response for request ID 4403080753549551049
2019-12-24 12:04:52.255 UTC INFO  proc1 685 [config.ConfigChannel] going into INITIALIZED state
2019-12-24 12:04:52.261 UTC INFO  proc1 685 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -3713700238284065329
2019-12-24 12:04:52.407 UTC INFO  proc1 685 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -5584023763648734663
2019-12-24 12:04:52.564 UTC INFO  proc1 685 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 503787944678833174
2019-12-24 12:04:52.743 UTC INFO  proc1 685 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -2979052695006774758
